,地址,余额,占比,交易笔数
121,0x701c484bfb40ac628afa487b6082f084b14af0bd,150000000000000000000004,0.0015409788172736933,31
122,0xb9fa6e54025b4f0829d8e1b42e8b846914659632,150000000000000000000004,0.0015409788172736933,4
123,0xb8cda067fabedd1bb6c11c626862d7255a2414fe,150000000000000000000004,0.0015409788172736933,4
124,0xb20411c403687d1036e05c8a7310a0f218429503,150000000000000000000004,0.0015409788172736933,4
125,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,150000000000000000000004,0.0015409788172736933,37
126,0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,150000000000000000000004,0.0015409788172736933,6
127,0x78605df79524164911c144801f41e9811b7db73d,149955658473120426660208,0.00154052328824938,45
128,0x2fa9f9efc767650aace0422668444c3ff63e1f8d,148531712314039264424200,0.001525894815795498,13
129,0xddeb7f30944b4efb72576100fe4ac493e97e3af7,148275147745860000600062,0.0015232590786966498,14
130,0xd57479b8287666b44978255f1677e412d454d4f0,147699424503407146688806,0.0015173445632217701,4
131,0x2a70ec105e8e49c3d0885c9164fec3e9096c5f7b,145363420456889344002040,0.0014933463448701062,5
132,0xbe2a51c30a49a944a8f42812413d5f8d783a2990,145363416771299424404808,0.001493346307007333,4
133,0x6569a39c644256ee9b647c13f2cb6afd4b50a947,145179053998774304684020,0.0014914523128262993,29
134,0x4baf012726cb5ec7dda57bc2770798a38100c44d,145000098382740000688860,0.0014896138674026923,7
135,0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,144180438876620042068206,0.0014811933478273065,170054
136,0xfca0ea01ab1f9aaf69ec3aa4926b588aefb1a6cd,143997134960298064820484,0.00147931023147947,11
137,0x4721c534f046015764678f3c381016c0b4e0cf5f,140327674960298064820204,0.0014416131639405827,2
138,0xf7860edbe57e1ce33a86cdbfa485cab61286ccb2,139799155581562208440660,0.0014361835828262451,4
139,0xd6216fc19db775df9774a6e33526131da7d19a2c,139609570454836304828202,0.0014342359383972133,5703
140,0x3262f13a39efaca789ae58390441c9ed76bc658a,138498043152000000002822,0.0014228170048739327,21
141,0x8a993fe29b411d1b247ae9fa0ab9046cec2bf731,138131752701955968028424,0.0014190540327106828,10
142,0xa8545cfffc8af7059dc200e371ada8932366145f,137832568144449642404082,0.0014159804522735318,4
143,0xfa923a35ac776c1c4f807fa30e0fe62643f26134,135854984795250026466846,0.0013956643586034664,6
144,0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,135283676786007786482842,0.0013897952016675927,280
145,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,131283028661993648224828,0.001348695774904449,12217
146,0x8d95842b0bca501446683be598e12f1c616770c1,130000000000000000000006,0.001335514974970534,47
147,0xa4a6a282a7fc7f939e01d62d884355d79f5046c1,129979992446706000880088,0.0013353094335317908,12
148,0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,129793403096616202062804,0.0013333925652916757,62
149,0x4399f61795d3e50096e236a6d31ab24470c99fd5,129025423559999968420666,0.0013255029639715073,217
150,0xb93d8596ac840816bd366dc0561e8140afd0d1cb,128576120636595546882484,0.0013208871887214714,56
151,0xa49d9b78ad1b389ee8d35adf4af065afc17f8c3b,126421939930432042688046,0.0012987568764762873,98
152,0xe5e47125d919c4efdff82ab8792e319096492a87,126421912532279984228664,0.0012987565950098076,1292
153,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,123806241898849120468044,0.0012718853080825952,3244
154,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,123687710432429008866828,0.00127066761155637,10
155,0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,123396551763601082220204,0.0012676764826155072,168
156,0xba954fbf66c40d1773c81e7ecb65c4a05df3d1c9,122889270604550864806622,0.0012624650858121841,5
157,0xc62024dd08014461f167b9f5b4e1c4c8ec27bb4d,121759851651871184846882,0.0012508623479328053,8
158,0xe91d91d411fea2b53841eaed70b24b1ac04f6180,121704760226790864844644,0.0012502963831390575,5
159,0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,120000000000000000000000,0.0012327830538189546,52
160,0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,120000000000000000000000,0.0012327830538189546,55
161,0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,120000000000000000000000,0.0012327830538189546,53
162,0x595faf77e533a5cd30ab5859c9a0116de8bad8db,120000000000000000000000,0.0012327830538189546,50
163,0xf481b7fab9f5d0e74f21ae595a749634fb053619,119858427836948202488408,0.001231328655789765,59
164,0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,119418373576084128644624,0.0012268078938268148,51
165,0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,119060196535359082400668,0.0012231282722762074,51
166,0xedb32fe68dba4942f82ff5598ba29cd448f22a5d,117798017970460000466600,0.0012101616693953648,29
167,0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,117773675318561642446822,0.0012099115926558206,47
168,0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,117266576155593264240080,0.0012047020655332106,132
169,0x4ce6b9b77a2e3341c4f94c751cd5c3b2424eb4b2,115204163023084000420224,0.0011835144992021183,5
170,0x376c3e5547c68bc26240d8dcc6729fff665a4448,114939000010007786484028,0.0011807904286269522,60
171,0x5a0269f420a6ab08556e697356d3a8029474d133,114204858902649866002442,0.0011732484559914295,5
